sequence,filename,quality,codec,model,true_class,original_pred,compressed_pred,original_confidence,compressed_confidence
31,Forest/Forest_1277.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9999982118606568,0.9965805411338806
32,Forest/Forest_2665.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997760653495787,0.9999995231628418
33,Forest/Forest_2381.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9989987015724182,0.9999847412109376
34,Forest/Forest_2525.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999953508377076,0.9999927282333374
35,Forest/Forest_612.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9983627200126648,0.9999970197677612
36,Forest/Forest_199.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999964475631714,0.9999897480010986
37,Forest/Forest_427.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.981791615486145,0.8142830729484558
38,Forest/Forest_1522.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.989453911781311,0.9912994503974916
39,Forest/Forest_751.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999771118164062,0.9999934434890748
40,Forest/Forest_2446.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999866485595704,1.0
41,Forest/Forest_665.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.999893307685852,0.918659806251526
42,Forest/Forest_2186.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999122619628906,0.9996745586395264
43,Forest/Forest_1538.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999873638153076,0.9999964237213136
44,Forest/Forest_1919.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999669790267944,0.999964714050293
45,Forest/Forest_1488.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999995231628418,0.9993952512741088
46,Forest/Forest_1466.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9994625449180604,0.9994539618492126
47,Forest/Forest_202.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9979998469352722,0.9998273849487304
48,Forest/Forest_1216.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997896552085876,0.9997819066047668
49,Forest/Forest_2515.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9966999888420104,1.0
50,Forest/Forest_1499.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.997156262397766,0.725915789604187
51,Forest/Forest_135.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9996485710144044,0.8652159571647644
52,Forest/Forest_2896.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998618364334106,0.999761402606964
53,Forest/Forest_1985.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.6735596060752869,0.9999958276748656
54,Forest/Forest_676.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999959468841552,1.0
55,Forest/Forest_2065.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9972796440124512,0.999974489212036
56,Forest/Forest_2077.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.999925136566162,0.9436033368110656
57,Forest/Forest_2191.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999931812286377,0.9999831914901732
58,Forest/Forest_1619.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999476671218872,0.9999921321868896
59,Forest/Forest_2985.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99998676776886,1.0
60,Forest/Forest_499.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9938231706619264,0.9992874264717102
61,Forest/Forest_2034.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999998807907104,0.9999998807907104
62,Forest/Forest_2961.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.98471862077713,0.990095853805542
63,Forest/Forest_75.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999561309814452,0.9999998807907104
64,Forest/Forest_40.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99998939037323,0.999915361404419
65,Forest/Forest_1217.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.996267020702362,0.9889729619026184
66,Forest/Forest_819.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999921321868896,0.9997569918632508
67,Forest/Forest_1760.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999817609786988,0.7793611288070679
68,Forest/Forest_870.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.8629253506660461,0.9999998807907104
69,Forest/Forest_57.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999688982963562,0.9999998807907104
70,Forest/Forest_161.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9826884865760804,0.9999998807907104
71,Forest/Forest_2577.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9996739625930786,0.9989776611328124
72,Forest/Forest_630.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9988307356834412,0.9999270439147948
73,Forest/Forest_548.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,1.0,0.9084606766700744
74,Forest/Forest_466.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999956488609314,0.9999630451202391
75,Forest/Forest_1772.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9987326264381408,0.9999986886978148
76,Forest/Forest_1872.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9994008541107178,0.9999876022338868
77,Forest/Forest_1430.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999383807182312,0.9997417330741882
78,Forest/Forest_2617.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.998497486114502,0.9999998807907104
79,Forest/Forest_1319.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997681975364684,0.9998927116394044
80,Forest/Forest_2283.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9129258394241332,0.9999991655349731
81,Forest/Forest_1968.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.674909234046936,0.9999984502792358
82,Forest/Forest_2657.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.989611029624939,0.999996304512024
83,Forest/Forest_1117.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9985145926475524,0.999997854232788
84,Forest/Forest_2096.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997523427009584,0.9998063445091248
85,Forest/Forest_1910.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999970197677612,1.0
86,Forest/Forest_1376.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9994300007820128,0.9999473094940186
87,Forest/Forest_2566.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998574256896972,0.9999960660934448
88,Forest/Forest_1804.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.928029716014862,0.8538858890533447
89,Forest/Forest_311.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997901320457458,0.9999505281448364
90,Forest/Forest_2625.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999947547912598,0.9999227523803712
91,Forest/Forest_1151.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999535083770752,0.999953269958496
92,Forest/Forest_2998.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9957558512687684,0.999853014945984
93,Forest/Forest_2350.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9996256828308104,0.4872943162918091
94,Forest/Forest_300.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998155236244202,0.999903678894043
95,Forest/Forest_984.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99728262424469,1.0
96,Forest/Forest_743.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999947547912598,0.9998819828033448
97,Forest/Forest_409.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999126195907592,0.999975085258484
98,Forest/Forest_1415.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999817669391632,0.9999998807907104
99,Forest/Forest_324.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999293088912964,0.9999440908432008
100,Forest/Forest_2824.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9979782700538636,1.0
101,Forest/Forest_383.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999896287918092,0.9978101849555968
102,Forest/Forest_2685.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997262358665466,0.9999955892562866
103,Forest/Forest_1618.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9366711974143982,0.9999997615814208
104,Forest/Forest_2062.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.98976069688797,0.999926209449768
105,Forest/Forest_2981.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9978808760643004,0.9802663922309875
106,Forest/Forest_1827.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999961853027344,1.0
107,Forest/Forest_2010.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999885559082032,1.0
108,Forest/Forest_1118.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999582767486572,0.999996781349182
109,Forest/Forest_2075.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9989651441574096,1.0
110,Forest/Forest_1811.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997723698616028,0.9999796152114868
111,Forest/Forest_1111.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999949932098388,0.9999998807907104
112,Forest/Forest_382.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999912977218628,0.9999996423721312
113,Forest/Forest_1302.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9947249293327332,0.9996687173843384
114,Forest/Forest_1615.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99842369556427,0.5219671130180359
115,Forest/Forest_280.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999854326248169,0.9424670338630676
116,Forest/Forest_2635.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9968131184577942,0.9968910813331604
117,Forest/Forest_2530.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999892711639404,1.0
118,Forest/Forest_2811.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9709495306015016,0.9999995231628418
119,Forest/Forest_873.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999264478683472,0.9999077320098876
120,Forest/Forest_2862.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999682903289796,0.9999982118606568
121,Forest/Forest_369.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999213933944702,1.0
122,Forest/Forest_2413.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9928604960441588,0.9999991655349731
123,Forest/Forest_1718.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999911785125732,0.9999988079071044
124,Forest/Forest_1501.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9981485605239868,0.9998948574066162
125,Forest/Forest_2785.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.996419072151184,0.9999949932098388
126,Forest/Forest_1033.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998723268508912,0.9998819828033448
127,Forest/Forest_2321.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.8692322969436646,0.9999996423721312
128,Forest/Forest_1196.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9858978986740112,0.9999923706054688
129,Forest/Forest_582.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999987006187439,1.0
130,Forest/Forest_2661.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998082518577576,0.9999693632125854
131,Forest/Forest_2158.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999752044677734,0.992912232875824
132,Forest/Forest_1689.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9998121857643129,0.9930809140205384
133,Forest/Forest_1515.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9995538592338562,0.9997527003288268
134,Forest/Forest_2063.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9998668432235718,0.5503037571907043
135,Forest/Forest_2803.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9998823404312134,0.996253252029419
136,Forest/Forest_1613.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9990584254264832,0.9999887943267822
137,Forest/Forest_963.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999981164932251,0.9995195865631104
138,Forest/Forest_1637.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9975735545158386,0.8751630187034607
139,Forest/Forest_838.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999943971633912,0.9999881982803344
140,Forest/Forest_2980.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9986863732337952,0.9999852180480956
141,Forest/Forest_641.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9938393235206604,0.9999982118606568
142,Forest/Forest_2793.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9903174638748168,0.9999972581863404
143,Forest/Forest_995.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.936598300933838,0.9999995231628418
144,Forest/Forest_2558.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997509121894836,0.9998645782470704
145,Forest/Forest_2412.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999958276748656,0.9954273700714112
146,Forest/Forest_417.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999991774559021,0.9999998807907104
147,Forest/Forest_1506.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.978503167629242,0.997074007987976
148,Forest/Forest_497.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997581839561462,0.9999849796295166
149,Forest/Forest_854.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999953508377076,0.9999723434448242
150,Forest/Forest_747.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999624490737916,0.9999997615814208
151,Forest/Forest_2882.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999974489212036,1.0
152,Forest/Forest_152.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999880790710448,0.99998676776886
153,Forest/Forest_2375.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999994039535522,0.9999029636383056
154,Forest/Forest_1673.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999979734420776,0.9998515844345092
155,Forest/Forest_143.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9982646107673644,0.9993903636932372
156,Forest/Forest_2123.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9999984502792358,0.905906856060028
157,Forest/Forest_1879.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999758005142212,1.0
158,Forest/Forest_1432.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999929666519164,0.9999997615814208
159,Forest/Forest_2152.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.999985694885254,0.9810782074928284
160,Forest/Forest_1492.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997379183769226,0.9999748468399048
161,Forest/Forest_1310.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.978538453578949,0.999942183494568
162,Forest/Forest_474.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999676942825316,1.0
163,Forest/Forest_563.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999994039535522,0.999958038330078
164,Forest/Forest_2095.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.996518611907959,0.999725878238678
165,Forest/Forest_1634.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9939334988594056,1.0
166,Forest/Forest_574.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.5992044806480408,0.999996781349182
167,Forest/Forest_92.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999945163726808,1.0
168,Forest/Forest_2296.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.985137104988098,0.9999996423721312
169,Forest/Forest_2281.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999988317489624,0.999174177646637
170,Forest/Forest_1419.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999438524246216,0.9999955892562866
171,Forest/Forest_462.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9972324967384338,0.9998512268066406
172,Forest/Forest_2445.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999996542930603,0.9999982118606568
173,Forest/Forest_551.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9994930028915404,0.9844943881034852
174,Forest/Forest_2430.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999942779541016,0.9999346733093262
175,Forest/Forest_955.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999992847442628,0.9999996423721312
176,Forest/Forest_2153.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9745593070983888,0.9993016719818116
177,Forest/Forest_654.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.928280770778656,0.8263443112373352
178,Forest/Forest_2944.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99998676776886,0.9999502897262572
179,Forest/Forest_2802.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999727010726928,0.9999375343322754
180,Forest/Forest_1966.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9983240962028505,0.9997647404670716
181,Forest/Forest_887.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9994524121284484,0.9999998807907104
182,Forest/Forest_2686.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9980043768882751,0.999959111213684
183,Forest/Forest_1725.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,HerbaceousVegetation,0.9992856383323668,0.933163285255432
184,Forest/Forest_220.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.7842068672180176,0.9995319843292236
185,Forest/Forest_2347.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997319579124452,0.9999921321868896
186,Forest/Forest_1688.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999326467514038,0.9999998807907104
187,Forest/Forest_850.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9914149641990662,0.9998050332069396
188,Forest/Forest_1373.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999512434005736,0.9999004602432252
189,Forest/Forest_426.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9872180819511414,0.9999998807907104
190,Forest/Forest_1229.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,HerbaceousVegetation,0.8565987944602966,0.9963335990905762
191,Forest/Forest_2024.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999715089797974,0.9999914169311525
192,Forest/Forest_1757.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999743700027466,0.9958871006965636
193,Forest/Forest_1790.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999987006187439,0.9402945041656494
194,Forest/Forest_1014.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9965282082557678,0.9998748302459716
195,Forest/Forest_2431.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998360872268676,0.9999998807907104
196,Forest/Forest_2582.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999916553497314,1.0
197,Forest/Forest_884.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999868869781494,1.0
198,Forest/Forest_2656.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9983861446380616,0.8572057485580444
199,Forest/Forest_1726.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999876022338868,0.9999794960021972
200,Forest/Forest_562.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9996397495269777,0.9940633177757264
201,Forest/Forest_1105.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999908208847046,0.9998483657836914
202,Forest/Forest_915.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999951124191284,0.9993556141853333
203,Forest/Forest_2592.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9178479313850404,0.999107301235199
204,Forest/Forest_721.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999997615814209,0.9926164746284484
205,Forest/Forest_66.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999715089797974,0.9999499320983888
206,Forest/Forest_1686.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.998284876346588,0.9999749660491944
