sequence,filename,quality,codec,true_class,original_pred,compressed_pred,original_confidence,compressed_confidence,models_affected
49,Forest/Forest_66.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999804496765136,0.9999499320983888,"ResNet-18, ViT-S/16"
50,Pasture/Pasture_1212.jpg,q6,cheng2020-attn,Pasture,Pasture,AnnualCrop,0.999847412109375,0.9976633787155152,ViT-S/16
51,PermanentCrop/PermanentCrop_1179.jpg,q6,cheng2020-attn,PermanentCrop,PermanentCrop,HerbaceousVegetation,0.9988694787025452,0.7164605855941772,ViT-S/16
52,Forest/Forest_747.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999624490737916,0.9999997615814208,"ResNet-18, ViT-S/16"
53,Pasture/Pasture_1510.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.999991536140442,0.9830316305160522,ViT-S/16
54,Pasture/Pasture_904.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.9999443292617798,0.9945489764213562,ViT-S/16
55,Pasture/Pasture_1194.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.9998670816421508,0.936732053756714,"ResNet-18, ViT-S/16"
56,Forest/Forest_838.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999943971633912,0.9999881982803344,"ResNet-18, ViT-S/16"
57,Pasture/Pasture_267.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.9999749660491944,0.9983793497085572,"ResNet-18, ViT-S/16"
58,Forest/Forest_1522.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.999098300933838,0.9995859265327454,"ResNet-18, ViT-S/16"
59,Pasture/Pasture_1327.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.9990505576133728,0.999848246574402,ViT-S/16
60,Highway/Highway_840.jpg,q6,cheng2020-attn,Highway,Highway,SeaLake,0.999986171722412,0.639358639717102,ViT-S/16
61,Pasture/Pasture_825.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.9998847246170044,0.878372848033905,ViT-S/16
62,Pasture/Pasture_250.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.9994961023330688,0.9911210536956788,"ResNet-18, ViT-S/16"
63,Forest/Forest_1760.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999817609786988,0.9900147914886476,"ResNet-18, ViT-S/16"
64,Forest/Forest_2102.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999619722366332,0.9998979568481444,"ResNet-18, ViT-S/16"
65,Residential/Residential_678.jpg,q6,cheng2020-attn,Residential,Residential,Industrial,0.9995611310005188,0.5340582728385925,ViT-S/16
66,Forest/Forest_2075.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999769926071168,1.0,"ResNet-18, ViT-S/16"
67,Forest/Forest_2678.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999337196350098,0.9999265670776368,"ResNet-18, ViT-S/16"
68,Forest/Forest_1329.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999758005142212,0.9999996423721312,"ResNet-18, ViT-S/16"
69,Forest/Forest_1614.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999980926513672,0.9998326301574708,"ResNet-18, ViT-S/16"
70,Forest/Forest_2010.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999885559082032,1.0,"ResNet-18, ViT-S/16"
71,Pasture/Pasture_857.jpg,q6,cheng2020-attn,Pasture,Pasture,AnnualCrop,0.9999548196792604,0.994895040988922,"ResNet-18, ViT-S/16"
72,HerbaceousVegetation/HerbaceousVegetation_2771.jpg,q6,cheng2020-attn,HerbaceousVegetation,HerbaceousVegetation,SeaLake,0.9999815225601196,0.9075640439987184,ViT-S/16
73,Pasture/Pasture_1518.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.9999552965164183,0.5628309845924377,ViT-S/16
74,River/River_401.jpg,q6,cheng2020-attn,River,River,SeaLake,0.9999862909317015,0.665595531463623,ViT-S/16
75,Forest/Forest_1229.jpg,q6,cheng2020-attn,Forest,Forest,HerbaceousVegetation,0.8565987944602966,0.9963335990905762,ResNet-18
76,Forest/Forest_1216.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999855756759644,0.9999256134033204,"ResNet-18, ViT-S/16"
77,Residential/Residential_2549.jpg,q6,cheng2020-attn,Residential,Residential,PermanentCrop,0.8177961707115173,0.4476781189441681,ResNet-18
78,Forest/Forest_2635.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.999968409538269,0.9996991157531738,"ResNet-18, ViT-S/16"
79,Pasture/Pasture_594.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.9999449253082277,0.9248034358024596,ViT-S/16
80,Forest/Forest_571.jpg,q6,cheng2020-attn,Forest,Forest,"Pasture, SeaLake",0.9999611377716064,0.9944403767585754,"ResNet-18, ViT-S/16"
81,Forest/Forest_2296.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999572038650512,0.9999996423721312,"ResNet-18, ViT-S/16"
82,Forest/Forest_870.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9998773336410522,0.9999998807907104,"ResNet-18, ViT-S/16"
83,River/River_2406.jpg,q6,cheng2020-attn,River,River,SeaLake,0.9999499320983888,0.9996045231819152,"ResNet-18, ViT-S/16"
84,Forest/Forest_1466.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999662637710572,0.9997121691703796,"ResNet-18, ViT-S/16"
85,Forest/Forest_1499.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999266862869264,0.9983928799629213,"ResNet-18, ViT-S/16"
86,HerbaceousVegetation/HerbaceousVegetation_2753.jpg,q6,cheng2020-attn,HerbaceousVegetation,HerbaceousVegetation,SeaLake,0.9992831349372864,0.9952622652053832,"ResNet-18, ViT-S/16"
87,HerbaceousVegetation/HerbaceousVegetation_730.jpg,q6,cheng2020-attn,HerbaceousVegetation,HerbaceousVegetation,SeaLake,0.9999488592147828,0.9690653085708618,"ResNet-18, ViT-S/16"
88,Forest/Forest_383.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.9999896287918092,0.9998586177825928,"ResNet-18, ViT-S/16"
89,Pasture/Pasture_1628.jpg,q6,cheng2020-attn,Pasture,Pasture,SeaLake,0.9999864101409912,0.8269848227500916,ViT-S/16
90,Forest/Forest_2969.jpg,q6,cheng2020-attn,Forest,Forest,SeaLake,0.99997079372406,1.0,"ResNet-18, ViT-S/16"
